Site Information:
CHIHUAHUA
1234567
Controller: Querido python
Controller description:  Pimpeame el código
Status: Online

Time,HP1_CORRIENTE_CH1  {A},HP1_CORRIENTE_CH2  {A},HP1_CORRIENTE_CH3     {A},HP1_VOLTAJE {V},HP1_PF_CH1 {PF},HP1_PF_CH2 {PF},HP1_PF_CH3 {PF},HP1_POTENCIA_CH1 {kW},HP1_POTENCIA_CH2 {kW},HP1_POTENCIA_CH3 {kW},UGAH_01_CORRIENTE_CH1  {A},UGAH_01_CORRIENTE_CH2 {A},UGAH_01_CORRIENTE_CH3   {A},UGAH_01_VOLTAJE {V},UGAH_01_PF_CH1 {PF},UGAH_01_PF_CH2 {PF},UGAH_01_PF_CH3 {PF},UGAH_01_POTENCIA_CH1 {kW},UGAH_01_POTENCIA_CH2 {kW},UGAH_01_POTENCIA_CH3 {kW},UMA_01_CORRIENTE_CH1 {A},UMA_01_CORRIENTE_CH2 {A},UMA_01_CORRIENTE_CH3 {A},UMA_01_VOLTAJE {V},UMA_01_PF_CH1 {PF},UMA_01_PF_CH2 {PF},UMA_01_PF_CH3 {PF},UMA_01_POTENCIA_CH1 {kW},UMA_01_POTENCIA_CH2 {kW},UMA_01_POTENCIA_CH3 {kW},UMA_02_CORRIENTE_CH1 {A},UMA_02_CORRIENTE_CH2 {A},UMA_02_CORRIENTE_CH3  {A},UMA_02_VOLTAJE {V},UMA_02_PF_CH1 {PF},UMA_02_PF_CH2 {PF},UMA_02_PF_CH3 {PF},UMA_02_POTENCIA_CH1 {kW},UMA_02_POTENCIA_CH2 {kW},UMA_02_POTENCIA_CH3 {kW},UEDX_01_CORRIENTE_CH3 {A},UEDX_01_PF_CH3 {PF},UCDX_01_CORRIENTE_CH3 {A},UCDX_01_PF_CH3 {PF},UEUCDX_01_VOLTAJE {V},UEDX_02_CORRIENTE_CH1 {A},UEDX_02_PF_CH1 {PF},UCDX_02_CORRIENTE_CH2 {A},UCDX_02_PF_CH2 {PF},UEUCDX_02_VOLTAJE {V},UV_01_CORRIENTE_CH3 {A},UV_01_VOLTAJE {V},UV_01_PF_CH3 {PF},UCVRF_01_CORRIENTE_CH1 {A},UCVRF_01_VOLTAJE {V},UCVRF_01_PF_CH1 {PF},UEVRF_01_CORRIENTE_CH2 {A},UEVRF_01_PF_CH2 {PF},UEVRF_02_CORRIENTE_CH3 {A},UEVRF_02_PF_CH3 {PF},UEVRF_03_CORRIENTE_CH1 {A},UEVRF_03_PF_CH1 {PF},UEVRF_04_CORRIENTE_CH2 {A},UEVRF_04_PF_CH2 {PF},UEVRF_05_CORRIENTE_CH2 {A},UEVRF_05_PF_CH3 {PF},UEVRF_06_CORRIENTE_CH1 {A},UEVRF_06_PF_CH1 {PF},UEVRF_VOLTAJE {V},ELP1_CORRIENTE_CH1 {A},ELP1_CORRIENTE_CH2 {A},ELP1_CORRIENTE_CH3    {A},ELP1_VOLTAJE {V},ELP1_PF_CH1 {PF},ELP1_PF_CH2 {PF},ELP1_PF_CH3 {PF},ELP1_POTENCIA_CH1 {kW},ELP1_POTENCIA_CH2 {kW},ELP1_POTENCIA_CH3 {kW},ELP2_CORRIENTE_CH1   {A},ELP2_CORRIENTE_CH2 {A},ELP2_CORRIENTE_CH3    {A},ELP2_VOLTAJE  {V},ELP2_PF_CH1 {PF},ELP2_PF_CH2 {PF},ELP2_PF_CH3 {PF},ELP2_POTENCIA_CH1 {kW},ELP2_POTENCIA_CH2 {kW},ELP2_POTENCIA_CH3 {kW},UMA_01_TEMPINY {Deg. C},UMA_02_TEMPINY {Deg. C},UMA_01_TEMRET {Deg. C},UMA_02 _TEMRET {Deg. C},UEDX_01_TEMPINY_CUARTO_ELEC {Deg. C},FCAH 01_TEMPINY_CUARTO_ELEC {Deg. C},UEDX_02_TEMPINY_SITE {Deg. C},FCAH_02_TEMPINY_SITE {Deg. C},TEMPZONA_01_CUARTO_ELEC {Deg. C},TEMPZONA_02_CUARTO_ELEC {Deg. C},PROMEDIO_TEMP_CUARTO_ELECTRICO {Deg. C},TEMPZONA_01_SITE {Deg. C},TEMPZONA_PROBADOR_LAD {Deg. C},TEMPZONA_PROBADOR_MEN {Deg. C},TEMPZONA_01_PV_UMA_01 {Deg. C},TEMPZONA_02_PV_UMA_01 {Deg. C},TEMPZONA_01_PV_UMA_02 {Deg. C},TEMPZONA_02_PV_UMA_02 {Deg. C},PROMEDIO_TEMP_PISO_VENTAS {Deg. C},UMA02_VALVE_MANDO {},UMA01_VALVE_MANDO {}
01/03/21 06:00:00,1.6,2.8,3.4,279.8,0.0,0.0,0.1,0.0,0.0,0.1,9.3,8.4,8.4,484.8,0.9,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,484.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.8,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,-0.0,221.6,0.9,0.9,0.0,-0.0,221.6,0.0,221.5,0.0,1.6,221.5,-0.3,1.3,-0.0,1.1,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.4,0.0,0.0,6.9,127.9,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.9,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.5,20.7,20.8,23.4,19.7,19.9,24.7,23.4,24.0,20.6,22.1,22.4,21.7,21.9,22.5,22.7,22.0,Off,Off
01/03/21 06:05:00,1.6,2.8,3.4,279.5,-0.0,0.0,0.1,0.0,0.0,0.1,9.3,8.4,8.4,483.9,0.8,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,484.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.4,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,-0.0,221.3,0.9,0.9,0.0,0.0,221.2,0.0,221.5,0.0,1.6,221.5,-0.3,1.3,-0.0,1.1,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.3,0.0,0.0,6.9,127.7,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.9,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.6,20.7,20.8,23.4,19.7,19.9,24.7,23.4,24.0,20.6,22.1,22.4,21.7,21.9,22.6,22.7,22.0,Off,Off
01/03/21 06:10:00,1.6,2.8,3.4,279.5,-0.0,0.0,0.1,0.0,0.0,0.1,9.3,8.4,8.4,483.9,0.8,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,483.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.8,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,0.0,221.1,0.9,0.9,0.0,0.0,221.2,0.0,221.2,0.0,1.5,221.2,-0.3,1.3,-0.0,1.0,-0.3,0.0,0.0,0.0,-0.0,0.0,-0.0,0.1,-0.0,221.2,0.0,0.0,6.9,127.7,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.6,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.4,20.5,20.6,20.7,23.3,19.5,19.7,24.7,23.4,24.0,20.6,22.1,22.4,21.6,22.0,22.5,22.7,22.0,Off,Off
01/03/21 06:15:00,1.5,2.8,3.4,279.5,-0.0,0.0,0.1,-0.0,0.0,0.1,9.3,8.4,8.5,484.1,0.9,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,483.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.8,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,0.0,221.1,0.9,0.9,0.0,0.0,221.1,0.0,221.1,0.0,1.5,221.2,-0.3,1.3,-0.0,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.1,0.0,0.0,6.9,127.7,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.7,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.4,20.6,20.8,23.3,19.5,19.7,24.7,23.3,24.0,20.6,22.1,22.4,21.6,22.0,22.6,22.8,22.0,Off,Off
01/03/21 06:20:00,1.6,2.8,3.4,278.4,0.0,-0.0,0.1,0.0,-0.0,0.1,39.4,38.4,35.5,482.4,0.7,0.8,0.7,8.0,8.2,7.3,0.0,0.0,0.0,483.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.1,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,0.0,220.5,0.9,0.9,0.0,0.0,220.5,0.0,220.9,0.0,1.5,221.0,-0.3,1.3,-0.0,1.0,-0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.0,0.0,0.0,6.9,127.2,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.6,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.4,20.6,20.6,23.2,19.4,19.6,24.7,23.3,24.0,20.7,22.1,22.4,21.7,21.9,22.5,22.7,22.0,Off,Off
01/03/21 06:25:00,1.6,2.8,3.4,279.3,0.0,0.0,0.1,0.0,0.0,0.1,9.3,8.4,8.5,484.2,0.9,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,483.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.5,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,-0.0,221.0,0.9,0.9,0.0,-0.0,221.1,0.0,220.9,0.0,1.5,221.1,-0.3,1.3,-0.0,1.0,-0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.0,0.0,0.0,6.9,127.7,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.6,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.3,20.5,20.6,23.2,19.4,19.6,24.7,23.3,24.0,20.6,22.1,22.4,21.7,21.9,22.5,22.7,22.0,Off,Off
01/03/21 06:30:00,1.6,2.8,3.4,279.2,-0.0,0.0,0.1,-0.0,0.0,0.1,9.3,8.4,8.5,483.9,0.9,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,0.0,221.1,0.9,0.9,0.0,-0.0,221.0,0.0,221.1,0.0,1.5,221.1,-0.3,1.3,-0.0,1.0,-0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.2,0.0,0.0,6.9,127.6,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.6,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.3,20.5,20.5,23.2,19.3,19.5,24.7,23.3,24.0,20.6,22.1,22.4,21.7,21.9,22.5,22.7,22.0,Off,Off
01/03/21 06:35:00,1.6,2.8,3.4,279.2,-0.0,0.0,0.1,-0.0,0.0,0.1,9.2,8.4,8.4,483.7,0.9,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,483.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.9,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,-0.0,221.0,0.9,0.9,0.0,-0.0,221.2,0.0,221.0,0.0,1.5,221.1,-0.3,1.3,-0.0,1.0,-0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.0,0.0,0.0,6.9,127.6,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.6,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.3,20.5,20.6,23.2,19.3,19.5,24.6,23.3,24.0,20.6,22.1,22.4,21.6,21.9,22.5,22.7,22.0,Off,Off
01/03/21 06:40:00,1.6,2.8,3.4,279.3,-0.0,0.0,0.1,-0.0,0.0,0.1,9.2,8.4,8.4,483.7,0.9,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,484.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.2,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,-0.0,221.0,0.9,0.9,0.0,-0.0,221.2,0.0,221.2,0.0,1.5,221.2,-0.3,1.2,-0.0,1.0,-0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,-0.0,221.1,0.0,0.0,6.9,127.7,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.7,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.3,20.5,20.6,23.1,19.3,19.5,24.6,23.3,24.0,20.6,22.1,22.4,21.7,21.9,22.5,22.7,22.0,Off,Off
01/03/21 06:45:00,1.6,2.8,3.4,279.5,0.0,0.0,0.1,0.0,0.0,0.1,9.2,8.4,8.4,484.1,0.9,0.9,0.8,2.2,2.0,1.9,0.0,0.0,0.0,484.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.2,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,0.0,-0.0,221.2,0.9,0.9,0.0,0.0,221.3,0.0,220.1,0.0,1.5,221.1,-0.3,1.2,-0.0,1.0,-0.3,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,0.0,220.5,0.0,0.0,6.9,127.7,0.0,0.0,-1.0,0.0,0.0,0.9,2.1,0.7,0.0,127.7,-0.9,-0.4,0.0,0.2,0.0,0.0,20.0,20.5,20.3,20.5,20.6,23.2,19.3,19.5,24.6,23.2,23.9,20.6,22.1,22.4,21.6,21.9,22.6,22.6,22.0,Off,Off
